"R","Metodo","mu1a","mu1b","mu2a","mu2b","mu3a","mu3b","sigma1a","sigma1b","sigma1c","sigma1d","sigma2a","sigma2b","sigma2c","sigma2d","sigma3a","sigma3b","sigma3c","sigma3d","p1","p2","p3","tempo"
8,"EM",1.17472773631016,5.17118127870302,4.0762555804041,1.06855658509696,6.23343057824282,6.68999480275659,2.36952043257155,2.54451491484367,2.54451491484367,5.85171996080695,3.0967972798382,1.00725913694245,1.00725913694245,0.888462884181029,3.69073287490823,-3.18456138984624,-3.18456138984624,4.97059378388736,0.37098314592138,0.355331345582823,0.273685508495797,0.0836739540100098
8,"MCMC",3.174290129875,4.498642827625,3.90089643725,3.47384964225,4.4456739055,4.872521837125,2.65176897125,0.710921275375,0.710921275375,4.305737397,2.774381685,0.307407676375,0.307407676375,3.0556926895,2.9484077875,-0.651303856875,-0.651303856875,4.020249957,0.343573977,0.33713590775,0.319290120875,82.9248790740967
9,"EM",0.904720748666014,5.30262836724797,4.16686458260219,1.00156701437186,5.83038033738468,7.24616592184554,1.21661960373038,1.13917675157314,1.13917675157314,4.36812235429611,3.95942888346246,1.55521442756076,1.55521442756076,1.62531307456402,2.3016752443818,-1.88147117013391,-1.88147117013391,3.28306671364468,0.335506508888922,0.361327705185209,0.303165785925869,0.0710499286651611
9,"MCMC",2.950333653375,4.608850929625,3.238345249625,1.972757200125,4.683691766125,6.584207655,1.91895875375,0.15298788075,0.15298788075,3.51424524025,2.1395395765,0.834225319875,0.834225319875,1.863563601625,2.28687587425,-1.518863042375,-1.518863042375,4.24017088625,0.335108000375,0.3394287565,0.32546324475,67.9508929252625
10,"EM",1.1700133524577,4.84809992117282,3.92301622288899,0.997293299959233,5.96717380240906,7.17506693359947,1.80803857544366,1.83147145762469,1.83147145762469,6.22235857800269,3.10634027999254,1.08730836644563,1.08730836644563,1.06715605810393,3.18476065424166,-2.65414111497329,-2.65414111497329,4.45714824260355,0.361486012696795,0.299800366691438,0.338713620611767,0.084744930267334
10,"MCMC",3.079418425125,4.42954680175,3.783874421125,3.498945347,4.280738974375,5.03317006675,2.306848617625,0.276835401,0.276835401,4.364729275875,2.466273937375,0.0568975918875,0.0568975918875,3.10716436575,2.66993944025,-0.87656855475,-0.87656855475,4.062074345,0.343067790125,0.322619632,0.3343125835,77.7755239009857
11,"EM",1.12977597657706,4.99620807286477,3.99675568527788,1.05861454799088,6.12286548925829,7.03724557990762,2.46640388149175,2.85326943472758,2.85326943472758,7.18178684067606,3.41061729047006,1.57437190680391,1.57437190680391,1.43451158471386,3.64302912098202,-3.26434339759587,-3.26434339759587,5.06577953447694,0.327671585971954,0.355079764228518,0.317248649799528,0.0809910297393799
11,"MCMC",2.582902316,3.049203788625,3.6878337795,5.97810637625,5.09803143875,4.000754161375,2.62231246625,2.0073351945,2.0073351945,4.221837536125,2.96197393625,-0.262036614125,-0.262036614125,6.00443743375,3.17729385875,-1.030806094125,-1.030806094125,3.125152340875,0.34329361775,0.3243732685,0.332333113375,92.2864480018616
12,"EM",1.11711506506804,4.86373777572882,3.91628916734386,0.924238168510164,6.31944640167482,6.51863546967471,3.19663348903212,3.05853148643319,3.05853148643319,7.21990053384829,3.0661266562719,1.03561882339303,1.03561882339303,1.04809413172527,2.01072315302718,-1.79808353966702,-1.79808353966702,3.56051191208676,0.364875819348565,0.285008249198284,0.35011593145315,0.15723991394043
12,"MCMC",2.38059544725,5.15349024875,3.79272367625,3.26729122425,5.08820995375,3.73028683575,2.7135295925,1.17193044925,1.17193044925,5.52488227,2.51717796125,0.44433454475,0.44433454475,2.994957948875,2.324084153625,-0.661388152,-0.661388152,2.500212704125,0.361566566125,0.31905707525,0.319376362625,78.7764019966125
13,"EM",1.2953217615136,5.47962385183337,3.89178682686624,0.874789311427572,6.20858147388472,6.43504636892776,2.9548222902564,3.0763515369936,3.0763515369936,7.67650322232204,2.91542704934102,1.06960577850304,1.06960577850304,1.01081148829827,2.22956191345091,-1.85453119262544,-1.85453119262544,2.94971594216526,0.347111674153971,0.329736647003367,0.323151678842662,0.0801479816436768
13,"MCMC",3.25786470725,4.60218017,3.27696718875,2.06574936075,5.0913386915,6.10576364,2.596084888625,1.683182607375,1.683182607375,5.0105827865,2.62425797,1.529717138875,1.529717138875,2.804296572875,2.144317996875,-0.09489121275,-0.09489121275,3.844996009875,0.34132921975,0.336367328125,0.322303448,186.572371959686
14,"EM",1.19072522510364,5.31629470266822,3.86377063761953,0.966809795371321,6.49401218993894,6.6203993728867,2.71396751634051,3.14236713569078,3.14236713569078,7.96324445048023,3.19877863355095,1.10089910971283,1.10089910971283,0.926688682941386,2.41763190828553,-2.52201714628331,-2.52201714628331,4.93012687481764,0.401634978853827,0.305972203009781,0.292392818136392,0.15213680267334
14,"MCMC",2.569170439875,3.2022721505,2.5695092655,3.198298539125,6.6263218075,6.4138696775,2.76639276875,2.075936286625,2.075936286625,4.6695802685,2.76491885,2.066736216375,2.066736216375,4.634591408,1.949996825,-1.88188623175,-1.88188623175,3.9938680825,0.359018697,0.3584419175,0.28253938625,138.912348985672
15,"EM",1.16812385077583,5.41255987898075,3.98575032225814,1.12779671061098,5.94193677298378,6.67083617604596,1.6486289415599,1.89294648767731,1.89294648767731,5.15972204040553,5.30041454918743,1.75198959087636,1.75198959087636,1.507936432778,2.67510160454831,-2.4766189372852,-2.4766189372852,4.13324937741712,0.375694011757106,0.366138568160759,0.258167420082134,0.139790058135986
15,"MCMC",2.53789429675,3.164467355125,4.2828468055,4.868731217875,4.28637167725,4.8653161835,2.5270954925,1.39525269425,1.39525269425,2.921914579375,2.9493705705,-1.0501579295,-1.0501579295,4.22770659825,2.940421573625,-1.054285284,-1.054285284,4.2081804765,0.363520346875,0.318570514,0.317909134375,130.457455158234
16,"EM",0.84554010694734,4.89827593606092,3.87742541372793,0.989923001000814,5.68952366025295,7.32535373527308,1.8946803853352,2.21547060704964,2.21547060704964,5.51336924238306,5.32834898574704,2.35448683503478,2.35448683503478,2.07970064197121,2.90893592392181,-2.74770284580224,-2.74770284580224,4.49911370379645,0.309469839346825,0.311005506711321,0.379524653941854,0.129600048065186
16,"MCMC",2.276364267875,2.847578544,3.383332963,5.91692443,4.7578555475,3.867428243,2.2327495065,1.63382243259875,1.63382243259875,3.8805680925,2.5453803925,-0.369984375625,-0.369984375625,6.122797135,2.63483872325,-1.21385104618625,-1.21385104618625,3.311806624375,0.30082548825,0.363842819875,0.3353316865,223.799765825272
17,"EM",1.02207889666164,5.24726498093552,3.93139496677755,1.13927022344386,5.87477869169088,7.28473943834737,1.67402136457831,1.89379582081818,1.89379582081818,5.69629918414748,5.96901508499215,1.55407513633142,1.55407513633142,1.40130546373363,3.238501418275,-2.72610311464482,-2.72610311464482,4.13181913045078,0.290907861125963,0.409873516051353,0.299218622822684,0.0878510475158691
17,"MCMC",3.019356001375,4.413845485375,3.534423867125,5.8895923675,4.51363496125,2.568541296375,2.731777885,0.175865388,0.175865388,4.8410318005,2.972662511875,-1.002205003,-1.002205003,5.9792241325,3.20632227625,-0.331720731625,-0.331720731625,2.101758168125,0.3326738005,0.3217457305,0.345580468875,83.6280710697174
18,"EM",1.08139378322708,5.02687630488541,4.06834054966109,1.16024637310576,5.92120078916012,7.175799322501,2.17081610666418,2.23619644043348,2.23619644043348,4.69463415903082,5.61547376703955,1.35225637750504,1.35225637750504,1.24997649865545,3.2323026849468,-2.55984760346154,-2.55984760346154,3.6331475807482,0.330768889034343,0.340576754381593,0.328654356584064,0.0672669410705566
18,"MCMC",2.383939759,5.46491678,3.83307954425,3.555195555875,5.0674397225,4.0750192935,2.76159111,0.78537098725,0.78537098725,4.6809707975,3.33142982375,0.191026866375,0.191026866375,2.743867612375,3.57247054125,-1.15678270925,-1.15678270925,2.6144439915,0.347146694375,0.329156514625,0.32369679475,89.2953419685364
19,"EM",1.17052566314702,5.21626398637511,3.90399702835357,0.993619017051394,6.06984396825843,7.03624943047542,1.79763443149998,1.72443775605505,1.72443775605505,6.85700751352359,2.8550599983121,1.09714556764314,1.09714556764314,1.10876396763701,2.69497322634057,-2.30509372538559,-2.30509372538559,4.12943516042648,0.29580805867661,0.33183400701128,0.372357934312111,0.0845520496368408
19,"MCMC",1.87203341725,4.1461304395,4.3026501825,5.090096761375,4.9909658525,4.051068109125,2.06224455,1.4109952986,1.4109952986,4.884623884,2.4697794405,-0.3421836168125,-0.3421836168125,3.657069913,2.802270505,-0.400517505625,-0.400517505625,2.40552183225,0.3045505475,0.342356139375,0.353093307125,79.3319611549377
20,"EM",1.19935665744119,5.33347499741207,4.01951807619568,1.10231146092589,5.82925235709789,7.01500200697505,1.48139418331136,1.79091912759512,1.79091912759512,5.00963343567403,5.0381693696346,1.76235507766073,1.76235507766073,1.45285824935079,2.54817920388894,-2.41520885740586,-2.41520885740586,3.94284841509645,0.306670280643078,0.370849944203467,0.322479775153455,0.0719239711761475
20,"MCMC",1.92267158175,4.155597451,4.544547195,2.477922065875,4.8313474245,6.3424345,1.963363364875,1.800288437625,1.800288437625,4.902329573625,2.64250852375,0.065103847625,0.065103847625,1.96370687725,2.585079127875,-1.682826956625,-1.682826956625,5.00496139125,0.336752127375,0.333994576,0.3292532915,88.2766718864441
21,"EM",0.929624510741708,4.3999904961841,4.06448356061525,1.0877424737437,6.21757077214317,6.52310140799036,2.15261104587472,2.43102622391042,2.43102622391042,7.07966449496489,3.1987639855005,1.05412652162514,1.05412652162514,0.930991615858466,2.78386498233352,-2.68308923422985,-2.68308923422985,4.9189024615332,0.300148148578263,0.338858374734179,0.360993476687558,0.0683519840240479
