"R","Metodo","mu1","mu2","mu3","sigma1","sigma2","sigma3","p1","p2","p3","tempo"
11,"MCMC",0.9300690895,3.87341060375,6.84372127125,0.966024345875,1.0335942745,1.140279197,0.345346526875,0.288517897625,0.36613556925,41.6784780025482
12,"EM",1.12536993301162,3.97009397783864,6.9266671964448,1.04387319709477,0.898012416667676,1.05216088515943,0.383386519099625,0.277461427290495,0.33915205360988,0.116658926010132
12,"MCMC",1.066323018625,3.93777370875,6.9822619175,1.023819001125,1.12801048625,1.04141706775,0.3544172685,0.327869361625,0.3177133695,47.4956939220428
13,"EM",1.01040669040648,4.03033104484508,7.26791286472603,0.912432053640015,1.14279640792777,0.981689597071834,0.292230071778738,0.391509026367415,0.316260901853846,0.155282974243164
13,"MCMC",1.010632308625,4.0237437275,7.268122155,0.9251369175,1.229029988125,0.9941732145,0.284571799875,0.40607730825,0.309350897,44.5182898044586
14,"EM",0.765503561950107,3.85700152314923,7.15901230935586,0.827400687556764,1.14685259578755,0.903185761290314,0.257431048735547,0.394083657503213,0.34848529376124,0.0902528762817383
14,"MCMC",0.78086575225,3.85621345,7.14695867,0.8485157645,1.182376318375,0.919107237375,0.256796830625,0.3956551435,0.3475480385,38.2897050380707
15,"EM",0.598352338428409,3.3944028746117,6.96974786945451,0.847900174364786,1.11665579273782,1.08986770080076,0.250900552937058,0.374197689268512,0.37490175779443,0.0860450267791748
15,"MCMC",0.639040917425,3.4154155325,6.97673609625,0.87953164125,1.17039722275,1.095777771875,0.2521120598125,0.378663176875,0.36922476925,45.7749688625336
16,"EM",2.86930052535542,3.65206002214278,7.16431432625222,2.09658017400469,0.0151267598776769,0.846375225275014,0.703331044028393,0.00550313020370958,0.291165825767897,0.0828149318695068
16,"MCMC",0.783951117375,3.94318294,7.09384488375,0.817780017,1.187486698125,0.9197177405,0.276549845,0.38997453025,0.333475629,42.6671171188354
17,"EM",1.09038454920197,4.0252230246659,6.82975512201631,1.01182401263562,0.658698859698278,1.12352632002919,0.374562479080911,0.268555377665531,0.356882143253558,0.0506289005279541
17,"MCMC",1.08467030575,4.02262332625,6.826506015,1.014991214875,0.69492523,1.134369881625,0.371908407375,0.272178528625,0.355913059125,31.8529977798462
18,"EM",0.853729697935726,4.02198691417065,7.0808343056056,0.92973964693957,1.1866683634642,0.909225847864898,0.304640716032232,0.358201285792063,0.337157998175705,0.150773048400879
18,"MCMC",0.850637843,4.03177249625,7.08484817375,0.9408399935,1.295216276125,0.916304126125,0.295993737,0.378184345,0.325821917625,45.7547578811646
19,"EM",0.981978523908712,3.92337439746091,6.96463883601597,0.901137543566341,1.09041985787407,0.976956295886449,0.326823543752277,0.346806567474334,0.326369888773389,0.166491031646729
19,"MCMC",0.97351357325,3.9266478425,6.98332457125,0.908456085125,1.234863533875,0.978886416125,0.312887805,0.374843083875,0.3122691,46.2037880420685
20,"EM",0.844571185400869,4.04342108976684,7.07730329778126,0.834496000080478,1.22010023444564,1.02623085824582,0.332479180857341,0.39121383999622,0.276306979146438,0.332857847213745
20,"MCMC",0.845665234625,4.01558045875,7.027439935,0.843526786625,1.27348800275,1.064824992,0.326165426875,0.39469701925,0.2791375561125,47.4810709953308
21,"EM",1.00429387528735,4.56514622156899,7.35371359437283,1.03369866432863,1.65739111099755,0.84147397408909,0.313685579824885,0.501786963159911,0.184527457015204,0.193934202194214
21,"MCMC",1.011672641625,4.3087538425,7.15092310625,1.026491215875,1.56382034025,0.95034785225,0.307776204025,0.455557385125,0.236666408,61.1641261577606
22,"EM",0.643855432752032,3.794334185372,7.15562929364143,0.828616658426066,1.61763556927952,0.960423481657894,0.199771167165439,0.502020776971209,0.298208055863353,0.127996921539307
22,"MCMC",0.749046621125,3.832031755,7.08665163625,0.89057711625,1.502368072,0.99723668425,0.2245228589875,0.460361805625,0.31511533825,49.5970509052277
23,"EM",1.16792936628693,4.18313113515663,6.74865461279734,1.08780175007706,0.862177492919979,1.13481689167111,0.358205791472568,0.260189683451457,0.381604525075975,0.34892201423645
23,"MCMC",1.082316741125,4.29907656875,6.88558895625,1.05665771825,1.17877428,1.09819978375,0.329611166625,0.345366306675,0.3250225223625,59.2932810783386
24,"EM",0.857603103443104,3.91696841352217,7.37591954449769,0.881793300857296,1.25597399390398,0.88044908088228,0.277139931137438,0.424880281902776,0.297979786959785,0.169920921325684
24,"MCMC",0.887589440875,3.91842709625,7.3614278,0.905331699125,1.290077364,0.89776072575,0.276891323375,0.42583063375,0.29727804525,42.539076089859
25,"EM",1.04795595827855,3.83621545584995,6.79997449191296,1.05317015015119,0.818189145443676,1.12830532682782,0.356657291068375,0.265175548867142,0.378167160064483,0.0833230018615723
