"R","Metodo","mu1a","mu1b","mu2a","mu2b","mu3a","mu3b","sigma1a","sigma1b","sigma1c","sigma1d","sigma2a","sigma2b","sigma2c","sigma2d","sigma3a","sigma3b","sigma3c","sigma3d","p1","p2","p3","tempo"
7,"MCMC",3.533221090375,6.147332085,3.904420547375,3.62684470625,3.91244388,3.632501972,2.622994555,-0.6852006666125,-0.6852006666125,5.700280965,3.0162839925,0.194401400625,0.194401400625,3.306777385,3.0232048095,0.212397872125,0.212397872125,3.326912926625,0.32596924675,0.337144292375,0.336886455125,110.429506063461
8,"EM",1.17472773631016,5.17118127870302,4.0762555804041,1.06855658509696,6.23343057824282,6.68999480275659,2.36952043257155,2.54451491484367,2.54451491484367,5.85171996080695,3.0967972798382,1.00725913694245,1.00725913694245,0.888462884181029,3.69073287490823,-3.18456138984624,-3.18456138984624,4.97059378388736,0.37098314592138,0.355331345582823,0.273685508495797,0.146944046020508
8,"MCMC",3.178820828625,4.510745683125,3.903495752,3.4758122975,4.44430327475,4.8672575545,2.91742276625,0.773328195875,0.773328195875,4.662138178625,3.0664995875,0.343670145,0.343670145,3.321813788,3.2435995075,-0.674972165375,-0.674972165375,4.357091927,0.3438739735,0.337816414875,0.318309603625,94.3206100463867
9,"EM",0.904720748666014,5.30262836724797,4.16686458260219,1.00156701437186,5.83038033738468,7.24616592184554,1.21661960373038,1.13917675157314,1.13917675157314,4.36812235429611,3.95942888346246,1.55521442756076,1.55521442756076,1.62531307456402,2.3016752443818,-1.88147117013391,-1.88147117013391,3.28306671364468,0.335506508888922,0.361327705185209,0.303165785925869,0.0947859287261963
9,"MCMC",2.48020026675,3.084512424375,2.961526536875,4.61265383,5.46324016375,5.4725932565,2.079219364625,1.036639559375,1.036639559375,3.054088060375,2.118083548875,0.192428012925,0.192428012925,3.871333237875,2.7759370975,-1.6903987504125,-1.6903987504125,3.626950769375,0.341326597125,0.33454638625,0.324127021625,79.0238411426544
10,"EM",1.1700133524577,4.84809992117282,3.92301622288899,0.997293299959233,5.96717380240906,7.17506693359947,1.80803857544366,1.83147145762469,1.83147145762469,6.22235857800269,3.10634027999254,1.08730836644563,1.08730836644563,1.06715605810393,3.18476065424166,-2.65414111497329,-2.65414111497329,4.45714824260355,0.361486012696795,0.299800366691438,0.338713620611767,0.115689039230347
10,"MCMC",3.09648943875,4.459775326375,3.098426612125,4.47037757175,4.96996490125,4.078571191625,2.54904498075,0.3474432902125,0.3474432902125,4.73194672025,2.569688148375,0.3603450547375,0.3603450547375,4.776635570125,3.157279025,-1.0921383766,-1.0921383766,3.026414660875,0.341361727375,0.342236818125,0.31640146225,90.5972681045532
11,"EM",1.12977597657706,4.99620807286477,3.99675568527788,1.05861454799088,6.12286548925829,7.03724557990762,2.46640388149175,2.85326943472758,2.85326943472758,7.18178684067606,3.41061729047006,1.57437190680391,1.57437190680391,1.43451158471386,3.64302912098202,-3.26434339759587,-3.26434339759587,5.06577953447694,0.327671585971954,0.355079764228518,0.317248649799528,0.107469081878662
11,"MCMC",2.455723192375,5.5220335525,3.859116160125,3.53892087025,5.10746268375,3.993409245625,2.94375419125,1.401821255875,1.401821255875,7.23951522125,3.1893417725,0.5687642075,0.5687642075,4.041165706125,3.4639017125,-1.059468630625,-1.059468630625,3.344399005625,0.331612375125,0.33827469775,0.330112928125,98.6287858486176
12,"EM",1.11711506506804,4.86373777572882,3.91628916734386,0.924238168510164,6.31944640167482,6.51863546967471,3.19663348903212,3.05853148643319,3.05853148643319,7.21990053384829,3.0661266562719,1.03561882339303,1.03561882339303,1.04809413172527,2.01072315302718,-1.79808353966702,-1.79808353966702,3.56051191208676,0.364875819348565,0.285008249198284,0.35011593145315,0.133595943450928
