"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
9,"EM",1.96190495187125,5.63716186078793,0.913608935193366,2.92861923918437,0.515632256994841,0.484367743005159,0.0183901786804199
9,"MCMC",1.96899765375,5.63467668375,0.923650324875,2.90817222625,0.515856199,0.484143801,37.342719078064
10,"EM",1.87541120141215,5.74637761591105,0.862898068236824,2.94101699062917,0.484475279603839,0.515524720396161,0.0192170143127441
10,"MCMC",1.88312644625,5.75213659625,0.877764739875,2.91808025125,0.487009030625,0.512990969375,17.8606538772583
11,"EM",1.94507037615967,6.11664967446576,1.06117715668821,3.033526176956,0.506914756377539,0.493085243622461,0.0166759490966797
11,"MCMC",1.9542431125,6.100847625,1.06836703375,3.0154266125,0.505951319,0.494048681,17.4910070896149
12,"EM",1.96872826188578,5.96292526448272,0.912976739305223,2.93102289960108,0.513059677128884,0.486940322871116,0.0199620723724365
12,"MCMC",1.9733749425,5.98912689125,0.92791686275,2.8918873125,0.5169036045,0.4830963955,18.2876629829407
13,"EM",1.94665989611078,5.63501278466545,0.886752090875758,2.99730844581774,0.463737877483115,0.536262122516885,0.0175800323486328
13,"MCMC",1.959724865,5.65480448125,0.905676922125,2.96998791875,0.468291896875,0.531708103125,18.0259530544281
14,"EM",1.94086588769526,5.91557481494566,0.902530935042073,3.09836687937742,0.474522881571324,0.525477118428676,0.028080940246582
14,"MCMC",1.9503292125,5.955532545,0.922396043625,3.056921855,0.48054146525,0.51945853475,18.2204391956329
15,"EM",1.96733465800195,6.40548941168143,1.06232920769333,2.96675059978893,0.482742600837862,0.517257399162138,0.0250089168548584
15,"MCMC",1.9781793925,6.39640324,1.068431902125,2.94309703875,0.48204351175,0.51795648825,17.4022719860077
16,"EM",2.05960167225355,6.22297486204175,1.07679244802218,2.88610522792074,0.557287499935322,0.442712500064677,0.0267000198364258
16,"MCMC",2.0797827325,6.32341914125,1.102039132875,2.79860839875,0.56807830325,0.43192169675,19.7199690341949
17,"EM",4.06971034207246,7.02303315554343,2.94039599049335,0.0321606303105235,0.990612266852155,0.00938773314784482,0.0196168422698975
17,"MCMC",2.17103548,6.7496315625,1.13314762225,2.48943687125,0.574503743125,0.425496256875,20.54430103302
18,"EM",2.12116266150636,6.00803354830406,0.992274142408554,3.05744843806291,0.556602248658472,0.443397751341528,0.023529052734375
18,"MCMC",2.2497974025,5.185600485,1.803471492125,2.528377525375,0.550944145875,0.449055854125,18.8961119651794
19,"EM",1.98259811469736,5.25308665548791,0.869275745309424,2.91155774696428,0.449494113094179,0.550505886905821,0.038114070892334
19,"MCMC",1.988869805,5.2655216675,0.884146909125,2.8936587425,0.4518179155,0.5481820845,17.0936329364777
20,"EM",1.81600380151043,5.97963588494214,0.981023387297921,2.78873986479589,0.462812626653578,0.537187373346422,0.0175089836120605
20,"MCMC",1.82230087375,5.97818997125,0.990866138625,2.7684855325,0.463403231375,0.536596768625,17.4429650306702
21,"EM",1.87747683679738,5.50209918658982,0.938779471672604,2.99549673231035,0.446802194860462,0.553197805139538,0.0167489051818848
21,"MCMC",1.88660136125,5.51648508375,0.95852327,2.97373069625,0.45070712225,0.54929287775,16.866485118866
22,"EM",2.0968330845488,6.29713218486072,1.06457268179683,2.65218311372963,0.578855495890377,0.421144504109623,0.0157110691070557
22,"MCMC",2.102119025,6.26622613,1.065634865,2.63825244375,0.575054437375,0.424945562625,18.3953959941864
23,"EM",1.89384670972138,6.1811314827555,0.887009576326378,2.78625562159381,0.505100936317141,0.494899063682859,0.0305919647216797
23,"MCMC",1.9022737925,6.2163255475,0.90017830325,2.73917665625,0.50941591775,0.49058408225,17.9731929302216
24,"EM",1.99007927918544,5.67942376454967,1.00833904207481,3.03004677112231,0.472883634247025,0.527116365752975,0.0488331317901611
